Cell ID,Spot ID,80K Spots Position X,80K Spots Position Y,80K Spots Position Z
43,600000304,233.954,174.954,0.0998975
43,600000305,234.604,174.949,0.0998975
45,600000306,241.628,174.929,0.0998975
45,600000307,244.761,174.82,0.0998975
50,600000308,259.984,174.923,0.0998975
50,600000309,262.894,174.805,0.0998975
47,600000310,275.297,174.846,0.0998975
46,600000311,277.258,174.799,0.0998975
46,600000312,279.123,174.679,0.0998975
51,600000313,197.07,175.151,0.0998975
44,600000314,221.583,175.055,0.0998975
43,600000315,237.017,175.159,0.0998975
43,600000316,238.068,175.251,0.0998975
49,600000317,247.998,175.317,0.0998975
50,600000318,266.255,175.146,0.0998975
46,600000319,277.807,175.339,0.0998975
48,600000320,209.245,175.598,0.0998975
44,600000321,218,175.601,0.0998975
44,600000322,219.742,175.66,0.0998975
56,600000323,222.95,175.433,0.0998975
42,600000324,225.984,175.479,0.0998975
53,600000325,228.182,175.605,0.0998975
45,600000326,245.401,175.621,0.0998975
49,600000327,251.31,175.534,0.0998975
50,600000328,260.238,175.522,0.0998975
47,600000329,267.941,175.745,0.0998975
47,600000330,268.792,175.604,0.0998975
47,600000331,272.532,175.392,0.0998975
47,600000332,274.673,175.695,0.0998975
51,600000333,199.432,176.129,0.0998975
48,600000334,207.747,175.907,0.0998975
42,600000335,224.064,176.1,0.0998975
43,600000336,235.392,175.965,0.0998975
52,600000337,257.187,175.907,0.0998975
50,600000338,261.557,175.96,0.0998975
47,600000339,270.484,175.801,0.0998975
54,600000340,283.418,175.813,0.0998975
0,600000341,194.845,176.23,0.0998975
51,600000342,201.367,176.335,0.0998975
48,600000343,212.049,176.444,0.0998975
57,600000344,212.977,176.203,0.0998975
53,600000345,230.477,176.441,0.0998975
45,600000346,240.393,176.392,0.0998975
45,600000347,242.986,176.36,0.0998975
45,600000348,243.973,176.425,0.0998975
50,600000349,265.423,176.303,0.0998975
47,600000350,273.647,176.365,0.0998975
19,600000351,290.354,176.273,0.0998975
48,600000352,208.556,176.832,0.0998975
56,600000353,217.091,176.705,0.0998975
42,600000354,225.126,176.559,0.0998975
53,600000355,227.565,176.74,0.0998975
53,600000356,232.524,176.725,0.0998975
43,600000357,237.432,176.562,0.0998975
58,600000358,241.487,176.516,0.0998975
58,600000359,242.213,176.772,0.0998975
45,600000360,246.538,176.629,0.0998975
52,600000361,253.94,176.599,0.0998975
50,600000362,260.702,176.76,0.0998975
50,600000363,262.841,176.707,0.0998975
47,600000364,268.849,176.588,0.0998975
60,600000365,274.446,176.72,0.0998975
46,600000366,278.472,176.739,0.0998975
54,600000367,284.355,176.703,0.0998975
0,600000368,196.968,176.94,0.0998975
57,600000369,212.549,177.232,0.0998975
44,600000370,215.928,177.167,0.0998975
56,600000371,223.416,177.265,0.0998975
50,600000372,266.762,177.084,0.0998975
47,600000373,269.926,177.109,0.0998975
46,600000374,277.1,177.039,0.0998975
51,600000375,202.83,177.554,0.0998975
55,600000376,204.322,177.409,0.0998975
55,600000377,207.76,177.509,0.0998975
53,600000378,230.95,177.439,0.0998975
58,600000379,239.116,177.408,0.0998975
52,600000380,256.908,177.589,0.0998975
50,600000381,264.243,177.467,0.0998975
47,600000382,271.048,177.294,0.0998975
51,600000383,198.168,177.831,0.0998975
51,600000384,200.173,177.885,0.0998975
56,600000385,220.661,177.715,0.0998975
53,600000386,228.308,177.774,0.0998975
59,600000387,236.884,177.826,0.0998975
58,600000388,240.767,177.909,0.0998975
58,600000389,243.391,177.8,0.0998975
45,600000390,245.528,177.896,0.0998975
49,600000391,249.545,177.856,0.0998975
50,600000392,261.843,177.884,0.0998975
51,600000393,201.578,178.21,0.0998975
55,600000394,204.529,178.266,0.0998975
57,600000395,213.068,178.179,0.0998975
56,600000396,219.8,178.319,0.0998975
56,600000397,225.723,178.238,0.0998975
49,600000398,247.579,178.255,0.0998975
49,600000399,248.554,178.241,0.0998975
60,600000400,274.379,178.32,0.0998975
54,600000401,285.796,178.279,0.0998975
0,600000402,197.235,178.601,0.0998975
55,600000403,203.657,178.49,0.0998975
55,600000404,208.431,178.444,0.0998975
57,600000405,215.728,178.499,0.0998975
56,600000406,217.962,178.606,0.0998975
56,600000407,219.145,178.503,0.0998975
56,600000408,224.048,178.719,0.0998975
53,600000409,229.829,178.586,0.0998975
58,600000410,241.764,178.564,0.0998975
49,600000411,250.748,178.654,0.0998975
52,600000412,253.864,178.564,0.0998975
52,600000413,255.21,178.61,0.0998975
52,600000414,259.414,178.447,0.0998975
60,600000415,275.197,178.624,0.0998975
0,600000416,194.679,178.964,0.0998975
62,600000417,202.682,178.858,0.0998975
57,600000418,211.511,179.072,0.0998975
59,600000419,233.819,178.879,0.0998975
58,600000420,245.904,178.848,0.0998975
49,600000421,248.95,179.01,0.0998975
49,600000422,252.17,178.924,0.0998975
47,600000423,268.657,178.996,0.0998975
60,600000424,276.305,179.142,0.0998975
62,600000425,200.831,179.361,0.0998975
55,600000426,206.352,179.292,0.0998975
57,600000427,213.435,179.521,0.0998975
57,600000428,214.236,179.525,0.0998975
53,600000429,231.22,179.543,0.0998975
58,600000430,239.147,179.327,0.0998975
58,600000431,242.675,179.478,0.0998975
58,600000432,247.031,179.388,0.0998975
52,600000433,258.547,179.234,0.0998975
61,600000434,260.179,179.389,0.0998975
61,600000435,261.451,179.265,0.0998975
50,600000436,265.734,179.373,0.0998975
56,600000437,217.64,179.635,0.0998975
56,600000438,218.837,179.889,0.0998975
56,600000439,224.659,179.71,0.0998975
53,600000440,227.136,179.898,0.0998975
53,600000441,228.197,179.923,0.0998975
49,600000442,250.584,179.613,0.0998975
64,600000443,268.314,179.794,0.0998975
19,600000444,288.893,179.721,0.0998975
19,600000445,289.923,179.687,0.0998975
0,600000446,195.916,180.102,0.0998975
62,600000447,199.482,180.14,0.0998975
55,600000448,204.294,180.204,0.0998975
57,600000449,210.815,180.06,0.0998975
53,600000450,229.44,179.999,0.0998975
59,600000451,234.006,180.12,0.0998975
59,600000452,236.55,179.992,0.0998975
58,600000453,240.626,180.032,0.0998975
58,600000454,244.519,180.098,0.0998975
63,600000455,253.688,180.247,0.0998975
64,600000456,267.637,180.017,0.0998975
