Cell_ID,Centroid,Cell Position X,Cell Position Y,Fano factor,PV,NV
1021,71,364.308,265.041,7.00238806,0.262162162,0.101041667
1022,72,379.342,264.173,1.303834808,0.110544218,0.056423611
1023,0,317.807,264.929,0,0,0
1024,0,312.174,266.261,0,0,0
1025,3,346.618,266.938,1.722222222,0.833333333,0.013020833
1026,0,327.987,266.609,0,0,0
1027,0,307.14,266.98,0,0,0
1028,0,322.877,267.387,0,0,0
1029,75,374.066,267.066,1.409079694,0.090311987,0.040922619
1030,2,351.548,267.84,5.457142857,0.366666667,0.022916667
1031,98,383.643,267.849,1.368217054,0.142857143,0.072916667
1032,69,367.553,268.337,2.572614108,0.120689655,0.0546875
1033,44,359.56,269.05,13.25757576,0.328638498,0.121527778
1034,80,378.359,269.219,2.922666667,0.134693878,0.06875
1035,0,297.531,270.077,0,0,0
1036,0,337.492,269.917,0,0,0
1037,0,342.353,270.309,1.722222222,0.333333333,0.005208333
1038,0,316.369,269.748,0,0,0
1039,0,332.012,270.522,0,0,0
1040,0,302.994,270.213,0,0,0
1041,0,310.293,271.396,0,0,0
1042,0,326.606,271.879,0,0,0
1043,0,320.775,272.247,0,0,0
1044,12,354.225,271.886,9.8875,0.289655172,0.04375
1045,0,348.965,272.187,6.390804598,0.402777778,0.025173611
1046,87,370.306,271.866,2.663157895,0.282758621,0.128125
1047,73,381.365,273.268,2.881663738,0.170068027,0.086805556
1048,62,364.454,273.144,5.162561576,0.167487685,0.075892857
1049,52,375.148,273.108,2.695709571,0.270114943,0.122395833
1050,0,306.148,274.575,0,0,0
1051,29,357.949,274.277,11.69607843,0.298387097,0.096354167
1052,0,301.001,275.244,0,0,0
1053,0,315.283,274.796,0,0,0
1054,0,335.94,274.4,2,0.2,0.002083333
1055,0,296.261,275.71,1,0.166666667,0.000868056
1056,0,331.38,276.093,0,0,0
1057,2,340.881,275.693,2.2,0.45,0.009375
1058,1,345.745,275.392,5.135802469,0.363636364,0.020833333
1059,0,310.417,277.113,0,0,0
1060,0,319.166,277.927,0,0,0
1061,0,324.646,276.165,0,0,0
1062,54,362.138,277.282,6.147474747,0.243076923,0.082291667
1063,54,370.798,276.532,2.747004933,0.189655172,0.0859375
1064,11,352.09,277.343,7.74375,0.288793103,0.043619792
1065,90,383.52,277.996,1.413937282,0.169254658,0.08110119
1066,84,377.821,277.393,2.805949966,0.198148148,0.092881944
1067,0,328.705,279.532,0,0,0
1068,0,336.151,280.42,2.952380952,0.214285714,0.004464286
1069,26,357.205,279.695,12.29850746,0.304449649,0.09672619
1070,65,366.814,279.504,0.515222482,0.086956522,0.03125
1071,0,305.113,279.456,0,0,0
1072,0,314.371,280.624,0,0,0
1073,0,323.334,281.2,0,0,0
1074,69,373.704,280.118,1.906103286,0.109848485,0.050347222
1075,0,299.55,280.261,1,0.166666667,0.000868056
1076,4,341.925,280.258,3.057142857,0.333333333,0.015625
1077,9,347.376,279.786,2.482926829,0.381818182,0.021875
1078,0,332.624,283.283,0,0,0
1079,61,362.325,282.194,6.317600787,0.246153846,0.083333333
1080,71,380.111,281.834,1.467509025,0.138888889,0.065104167
1081,11,350.722,283.156,3.781144781,0.243589744,0.032986111
1082,0,309.241,283.123,0,0,0
1083,21,354.985,283.952,13.19086177,0.302107728,0.095982143
1084,73,387.958,283.117,1.337085679,0.1,0.046875
1085,5,345.735,284.644,4.306666667,0.3375,0.028125
1086,0,303.87,284.457,0,0,0
1087,57,365.588,286.083,0.563352827,0.121031746,0.045386905
1088,66,370.388,283.746,1.299516908,0.077651515,0.035590278
1089,0,297.53,284.654,1,0.166666667,0.000868056
1090,0,319.512,284.404,0,0,0
1091,0,326.847,284.295,0,0,0
1092,88,375.651,284.559,1.228205128,0.181818182,0.083333333
1093,0,314.323,286.264,0,0,0
1094,64,383.747,284.561,1.583578947,0.202222222,0.094791667
1095,55,359.995,285.989,7.218934911,0.224537037,0.084201389
1096,0,334.34,288.463,1,0.166666667,0.000868056
1097,0,329.663,288.149,0,0,0
1098,0,324.045,288.636,0,0,0
1099,88,380.038,287.666,1.181980774,0.107544141,0.04985119
1100,0,310.121,288.136,0,0,0
1101,0,339.506,288.426,2.125,0.333333333,0.005208333
1102,67,370.256,288.31,1.241803279,0.077651515,0.035590278
1103,0,299.951,288.996,0,0,0
1104,16,350.056,288.475,13.94285714,0.248447205,0.05952381
1105,89,386.292,288.562,0.965898618,0.147672552,0.068452381
1106,0,318.842,289.733,0,0,0
1107,0,344.601,289.135,7.514285714,0.35,0.029166667
1108,46,356.297,289.143,12.23487544,0.293981481,0.110243056
1109,72,361.985,291.017,4.830022075,0.176767677,0.091145833
1110,75,392.484,291.478,4.822368421,0.189138577,0.087673611
1111,10,403.629,290.607,12.02654867,0.311965812,0.063368056
1112,3,409.046,293.261,2.850574713,0.3,0.015625
1113,0,441.792,293.339,0,0,0
1114,0,413.902,291.042,3.166666667,0.333333333,0.012152778
1115,0,436.511,290.59,1,0.166666667,0.000868056
1116,81,398.034,199.218,1.61373661,0.111111111,0.053819444
1117,66,413.157,198.758,7.28115016,0.213815789,0.084635417
1118,72,417.436,201.745,4.87204611,0.240540541,0.092708333
1119,93,404.578,201.523,1.020576132,0.15248227,0.074652778
1120,71,392.403,203.481,0.877934272,0.082304527,0.034722222
1121,78,398.979,205.242,1.215241419,0.104609929,0.051215278
1122,74,410.705,204.56,2.478405316,0.112462006,0.055059524
1123,54,422.573,205.466,5.406222222,0.183982684,0.073784722
1124,22,433.794,206.729,11.35460993,0.297169811,0.08203125
1125,69,394.399,209.434,0.670842333,0.112643678,0.051041667
1126,94,404.44,208.025,1.374485597,0.161347518,0.078993056
1127,52,416.741,208.245,1.597578348,0.225108225,0.090277778
1128,6,439.519,209.807,9.214285714,0.431818182,0.049479167
1129,75,410.91,211.286,2.421296296,0.118794326,0.058159722
1130,53,428.362,209.638,8.580208333,0.222943723,0.089409722
1131,77,422.591,212.037,1.372977346,0.274891775,0.110243056
1132,87,399.194,213.847,3.01397739,0.131168831,0.07514881
1133,66,405.385,214.031,2.516535433,0.209345794,0.116666667
