Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
680,278.769,256.528,1,11.57923497,0.310344828,0.047368421
681,287.146,257.134,0,0.5,0,0.003508772
682,225.778,257.311,117,0.722715405,0.08951049,0.067368421
683,264.102,258.516,68,3.428464419,0.145833333,0.06754386
684,241.145,258.645,126,1.171428571,0.064383562,0.049473684
685,211.295,258.158,94,2.179372197,0.103107345,0.064035088
686,246.014,259.076,108,3.665438165,0.132420091,0.101754386
687,258.81,259.145,67,7.17007874,0.160606061,0.111578947
688,273.292,259.248,29,15.58666667,0.32748538,0.098245614
689,283.063,260.38,1,6.851851852,0.180555556,0.011403509
690,250.618,259.93,121,4.32591623,0.160353535,0.111403509
691,216.777,260.1,118,3.154989384,0.122474747,0.085087719
692,201.205,260.338,68,1.939393939,0.128070175,0.064035088
693,222.142,261.755,125,1.016924209,0.069634703,0.053508772
694,235.82,261.087,130,1.311184939,0.074363992,0.057142857
695,228.673,261.605,143,1.506459948,0.118721461,0.09122807
696,207.081,261.541,80,1.116694584,0.107017544,0.053508772
697,278.29,262.424,12,12.52511416,0.385057471,0.05877193
698,255.559,262.863,132,9.023984337,0.306818182,0.213157895
699,267.644,263.064,57,8.259775455,0.275653924,0.103007519
700,288.785,262.712,1,1.142857143,0,0.004511278
701,212.936,264.276,80,4.07086999,0.154040404,0.107017544
702,241.968,264.124,146,1.752565564,0.165525114,0.127192982
703,261.961,263.828,71,9.100126743,0.130050505,0.090350877
704,247.018,265.381,110,2.187114198,0.121004566,0.092982456
705,272.895,263.823,23,13.02147651,0.242105263,0.072631579
706,202.155,265.175,95,2.127192982,0.233333333,0.116666667
707,218.687,266.101,132,4.944376776,0.149543379,0.114912281
708,225.318,266.727,146,1.624303233,0.142694064,0.109649123
709,231.42,266.025,107,2.130401235,0.131278539,0.100877193
710,282.087,266.13,2,4.794285714,0.202380952,0.012781955
711,236.645,266.185,116,2.215487316,0.116438356,0.089473684
712,251.864,267.178,132,4.180827887,0.200757576,0.139473684
713,208.012,267.435,89,1.329824561,0.114035088,0.057017544
714,270.057,268.273,23,12.9726248,0.286549708,0.085964912
715,288.029,267.764,0,1.266666667,0,0.004385965
716,258.024,267.719,76,9.512860082,0.212121212,0.147368421
717,275.952,267.673,5,7.105691057,0.427536232,0.051754386
718,264.452,268.908,55,9.494952585,0.217325228,0.107518797
719,197.662,268.43,60,4.011851852,0.140350877,0.070175439
720,242.076,269.791,141,2.086962985,0.173189824,0.133082707
721,215.012,270.405,89,5.786373047,0.133116883,0.092481203
722,229.514,270.667,113,2.46563981,0.110730594,0.085087719
723,283.815,270.407,2,0.828571429,0.5,0.005263158
724,202.931,270.984,66,3.157407407,0.140350877,0.070175439
725,221.673,271.471,131,4.148619958,0.146771037,0.112781955
726,247.779,271.211,106,2.705378973,0.132387707,0.098245614
727,209.642,272.122,71,1.286206897,0.112359551,0.052631579
728,236.03,270.877,109,1.504198153,0.06501182,0.048245614
729,254.382,271.924,88,3.742228599,0.137626263,0.095614035
730,260.167,271.928,94,3.125813449,0.219148936,0.108421053
731,278.636,271.741,2,5.279279279,0.277777778,0.021929825
732,267.822,273.435,29,10.3495935,0.303921569,0.10877193
733,273.561,272.889,15,9.078431373,0.333333333,0.061403509
734,286.98,274.591,0,1.444444444,0,0.002631579
735,238.626,275.278,107,2.338797814,0.135416667,0.102631579
736,199.933,275.676,53,1.538525963,0.116666667,0.042982456
737,205.372,276.513,70,1.439528024,0.122362869,0.050877193
738,226.627,274.564,137,3.2,0.147368421,0.117894737
739,244.639,275.122,126,1.272655634,0.078014184,0.057894737
740,262.998,275.736,62,7.553941909,0.226950355,0.112280702
741,217.283,275.889,88,3.107927412,0.127226463,0.087719298
742,232.659,274.962,101,3.397837003,0.171052632,0.136842105
743,281.774,275.503,1,4.04,0.32,0.016842105
744,211.52,276.9,79,2.014545455,0.125886525,0.062280702
745,250.858,275.952,115,2.459447415,0.130952381,0.086842105
746,222.632,277.445,106,4.675799087,0.186403509,0.149122807
747,256.915,276.503,86,2.920209974,0.117391304,0.071052632
748,276.516,277.084,10,11.52873563,0.29047619,0.053508772
749,270.855,277.744,35,12.38993711,0.24754902,0.088596491
750,265.903,279.64,68,8.990574122,0.251893939,0.116666667
751,229.025,279.202,152,3.263768116,0.157894737,0.126315789
752,241.222,279.966,126,1.117056856,0.063657407,0.048245614
753,235.479,280.137,144,2.789766407,0.137061404,0.109649123
754,247.309,280.229,125,1.481481481,0.087855297,0.059649123
755,288.203,280.168,0,3.233333333,0.333333333,0.00877193
756,254.029,281.106,102,2.282321004,0.111111111,0.073684211
757,281.229,280.324,5,6.666666667,0.254385965,0.025438596
758,201.374,281.248,54,1.638211382,0.138095238,0.050877193
759,219.726,281.87,111,3.745636998,0.102649007,0.081578947
760,260.198,280.607,88,3.305220884,0.15224359,0.083333333
761,207.73,281.906,59,2.441314554,0.166666667,0.08245614
762,214.489,281.866,94,3.884153005,0.159159159,0.092982456
763,275.033,281.554,19,9.133333333,0.328703704,0.062280702
764,225.695,283.9,151,2.960947595,0.202067669,0.161654135
765,269.622,283.254,36,11.65002312,0.255533199,0.095488722
766,285.251,283.868,4,2.31372549,0.5,0.013157895
767,264.147,284.496,71,8.371872887,0.205128205,0.112280702
768,231.702,283.941,129,0.703546099,0.094736842,0.075789474
769,243.514,285.007,129,1.535687168,0.06547619,0.048245614
770,249.882,284.564,96,1.894915254,0.203076923,0.138947368
771,198.691,285.81,64,1.709422011,0.121004566,0.046491228
772,279.298,285.245,5,6.300546448,0.266666667,0.028070175
773,257.741,285.179,104,3.242828882,0.12962963,0.085964912
774,237.278,285.698,140,0.314178805,0.058531746,0.044360902
775,210.638,286.015,73,3.318761384,0.122641509,0.068421053
776,204.068,286.979,68,0.798418972,0.109589041,0.042105263
777,273.73,286.384,20,9.988505747,0.282945736,0.064035088
778,221.172,287.326,108,2.810465116,0.068874172,0.054736842
779,215.48,287.991,106,2.971236817,0.150579151,0.087969925
780,253.381,288.407,126,1.597312527,0.155128205,0.106140351
781,283.217,288.062,3,1.264705882,0.4,0.010526316
782,247.38,289.284,130,1.556754596,0.101010101,0.070175439
783,261.966,288.832,83,7.025917927,0.213461538,0.116842105
784,230.599,288.684,130,1.334762415,0.07615894,0.060526316
785,267.967,288.661,43,11.55650877,0.25989673,0.113533835
786,288.477,289.153,0,2.066666667,0.45,0.009473684
787,278.502,290.585,5,5.061016949,0.33,0.034736842
788,199.646,290.761,58,0.370958904,0.067647059,0.024210526
789,273.515,291.038,17,10.1975393,0.316526611,0.084962406
790,386.403,200.96,0,0.833333333,0,0.001754386
791,391.486,214.509,0,0,0,0
792,389.429,220.941,0,0,0,0
793,389.185,230.737,0,0,0,0
794,388.964,235.97,0,0,0,0
795,390.932,246.665,0,1,0,0.000877193
796,388.825,267.954,0,1.266666667,0,0.004385965
797,386.818,272.975,0,1.666666667,0,0.003508772
798,388.521,278.251,2,1.2,0.6,0.006315789
799,387.094,292.891,0,14.975,0.27826087,0.033684211
800,297.369,293.794,0,2,0,0.001754386
801,303.155,294.456,0,1,0,0.000877193
802,308.854,293.529,0,1,0,0.000877193
803,314.007,291.902,0,0,0,0
804,327.327,292.948,0,0.833333333,0,0.001754386
805,338.185,293.143,2,1.083333333,0,0.00877193
806,348.626,294.051,0,0,0,0
807,353.264,292.712,0,1,0,0.001052632
808,366.955,291.947,0,0,0,0
809,371.981,292.983,0,1,0,0.001052632
810,375.433,289.322,0,1,0,0.000877193
811,322.248,293.268,0,0,0,0
812,305.411,289.526,1,1,0,0.005263158
813,320.325,197.802,0,1,0,0.000877193
814,344.161,199.302,0,0.833333333,0,0.001754386
815,314.699,200.081,0,1,0,0.000877193
816,337.856,198.377,1,0.833333333,0,0.004385965
817,350.76,201.158,0,0,0,0
818,302.42,199.925,0,1,0,0.000877193
819,357.052,201.799,0,0,0,0
820,308.464,201.542,0,0,0,0
821,326.087,202.375,0,1,0,0.00075188
822,363.991,203.045,0,0,0,0
823,375.61,202.873,0,0.8,0,0.002105263
824,298.15,203.982,1,1,0,0.005263158
825,319.406,203.693,1,1,0,0.005263158
826,332.711,203.667,0,1,0,0.00075188
827,346.497,205.985,0,0,0,0
828,381.676,205.457,1,0.833333333,0,0.004385965
829,339.976,205.177,0,1,0,0.000877193
830,370.032,205.403,0,1,0,0.000877193
831,303.158,205.547,0,1,0,0.000877193
832,312.663,206.133,0,1,0,0.000877193
833,306.874,209.015,0,0,0,0
834,323.719,208.061,0,1,0,0.000877193
835,352.695,207.917,0,0,0,0
836,328.99,208.488,0,0,0,0
837,359.019,208.24,0,0,0,0
838,387.383,208.466,0,1,0,0.00075188
839,375.66,208.601,1,0.833333333,0,0.004385965
840,335.572,209.293,0,0,0,0
841,365.042,210.067,0,0,0,0
842,296.128,210.349,0,1,0,0.00075188
843,317.09,209.424,0,1,0,0.000877193
844,341.632,211.068,0,0,0,0
845,301.512,211.4,0,1,0,0.000877193
846,311.45,212.396,0,0,0,0
847,348.487,212.17,0,0,0,0
848,371.318,212.005,0,1,0,0.000877193
849,379.861,212.084,0,0.857142857,0,0.001503759
850,326.72,214.338,0,0,0,0
851,385.41,215.147,0,0,0,0
852,320.783,213.117,0,0,0,0
853,355.003,213.529,0,0,0,0
854,361.495,214.813,0,0,0,0
