Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
383,103.085,255.992,0,0.8,0,0.002564103
384,164.793,255.199,0,0,0,0
385,118.082,256.625,0,0,0,0
386,154.178,256.263,0,0,0,0
387,109.061,258.174,0,1,0,0.000915751
388,130.213,257.705,0,0,0,0
389,184.633,257.923,0,0,0,0
390,190.314,258.213,0,1,0,0.001068376
391,141.917,258.337,0,0,0,0
392,178.65,258.443,0,0,0,0
393,159.975,258.748,0,0,0,0
394,171.587,258.534,0,0,0,0
395,135.744,261.037,0,0,0,0
396,150.261,260.056,0,0,0,0
397,101.744,261.301,1,0.714285714,0,0.004578755
398,113.992,261.657,0,1,0,0.001068376
399,165.949,260.491,0,0,0,0
400,124.894,261.695,0,0,0,0
401,119.735,262.502,0,1,0,0.001068376
402,144.843,262.645,0,0,0,0
403,156.163,263.134,0,0,0,0
404,175.554,263.442,0,1,0,0.001068376
405,187.993,263.411,0,1,0,0.001068376
406,129.395,263.958,0,0,0,0
407,108.456,264.134,0,0.833333333,0,0.002136752
408,162.307,264.152,0,0,0,0
409,169.801,264.169,0,1,0,0.001068376
410,181.661,263.076,0,0,0,0
411,139.705,265.413,0,0,0,0
412,150.405,265.422,0,0,0,0
413,102.609,267.033,0,1,0,0.001282051
414,133.918,267.892,0,0,0,0
415,166.503,268.883,0,1,0,0.000915751
416,114.984,267.985,1,1,0,0.006410256
417,121.959,267.995,0,1,0,0.001068376
418,172.215,269.021,1,1,0,0.006410256
419,184.979,267.913,0,0,0,0
420,144.436,268.76,0,0,0,0
421,154.229,269.252,0,0,0,0
422,160.384,268.935,0,0,0,0
423,178.863,268.232,0,1,0,0.001068376
424,190.943,268.886,0,1,0,0.000915751
425,127.189,270.168,0,0,0,0
426,107.806,270.305,0,1.444444444,0,0.003205128
427,148.845,271.826,0,0,0,0
428,138.808,271.732,0,0,0,0
429,181.078,273.959,0,0,0,0
430,186.244,272.744,0,0,0,0
431,120.021,273.652,0,0.857142857,0,0.001831502
432,132.462,273.881,0,0,0,0
