Cell ID,Cell Position X,Cell Position Y,Cell Position Z
90,325.941,196.248,4.76867
91,331.878,197.229,4.5373
92,343.602,191.746,4.78033
93,348.892,193.712,4.83884
94,354.594,195.151,4.76248
95,361.191,195.843,4.70139
96,368.208,197.672,4.98699
97,380.589,198.066,4.82847
98,336.764,191.766,4.88742
99,374.311,196.984,5.00822
100,297.156,167.485,5.44787
101,306.149,169.532,5.08265
102,316.968,170.215,5.30637
103,300.867,171.936,4.8378
104,323.23,172.089,5.21305
105,311.364,173.81,4.95708
106,330.259,172.992,4.96067
107,295.649,174.733,4.87145
108,305.374,176.53,4.94088
109,336.909,174.921,5.2552
110,342.801,172.366,5.52635
111,316.321,176.937,4.80397
112,348.879,175.472,5.21618
114,299.309,179.454,4.79928
115,326.844,177.561,4.90265
116,360.853,176.773,5.26927
117,321.248,179.08,5.0672
118,332.113,180.287,4.90072
119,343.903,179.056,5.07236
120,310.651,180.415,4.74709
121,337.871,181.2,5.0769
122,368.09,178.818,5.25368
123,355.335,182.1,4.8648
124,304.904,183.115,4.72293
125,315.614,183.868,4.60953
126,348.237,184.264,4.91825
127,362.322,182.893,5.16718
129,326.946,184.654,4.86998
130,374.158,184.098,5.16609
131,368.297,184.659,4.91052
132,320.684,185.967,4.77543
133,299.265,186.825,4.81817
134,341.481,185.908,4.92114
135,334.046,186.628,4.85234
136,310.679,188.144,5.06581
137,352.65,188.118,4.7769
138,386.348,186.299,5.25944
139,379.353,190.298,4.85616
140,358.822,188.929,4.80879
141,305.005,189.36,4.88449
142,365.242,190.242,4.88622
143,372.073,190.834,4.95467
144,316.599,191.997,5.10762
145,322.803,191.103,4.52687
146,329.483,191.122,5.03647
147,385.473,193.245,5.01054
148,311.787,195.624,5.13979
149,390.92,196.83,4.63499
150,396.106,193.373,5.09347
151,407.578,196.104,5.2358
152,400.058,188.155,5.34964
153,391.516,189.738,5.23502
154,402.247,193.942,5.01783
155,412.15,192.505,5.4946
156,100.554,229.925,4.81282
157,96.4987,240.079,4.71738
158,98.3849,245.018,4.8233
159,97.2214,254.919,4.91893
160,94.9318,259.983,4.78842
161,98.217,271.823,4.76097
162,97.8104,277.462,4.66253
163,98.2482,282.912,4.82012
164,77.0024,290.782,4.82357
165,82.7545,291.081,4.66739
166,91.6378,293.199,4.78453
167,94.3599,226.531,5.35416
168,91.4167,232.217,4.60902
169,96.6277,234.625,4.86258
170,84.3475,237.377,4.82842
171,90.7575,237.668,4.94394
172,87.4241,242.823,4.77606
173,77.92,239.588,5.5451
174,92.4278,244.849,4.67102
175,81.5527,244.424,4.61208
176,74.9107,246.168,5.29845
177,86.4012,248.757,4.77669
178,79.1148,250.22,4.79747
179,94.2171,249.718,4.74517
180,73.5394,252.611,4.78251
181,83.3387,253.939,4.89539
182,90.41,254.36,4.65738
183,67.4323,255.718,5.02247
184,77.5582,257.063,4.76472
185,86.7273,258.911,4.64938
186,71.3174,259.502,4.77788
187,81.4209,262.032,4.79901
188,64.5902,262.112,5.00471
189,75.1689,263.942,4.79268
190,90.0873,263.579,4.76412
191,69.2079,266.074,4.82391
192,85.424,267.375,4.6711
193,96.6238,265.63,4.73935
194,79.3701,268.624,4.64049
195,63.4588,268.287,4.78692
196,91.492,270.067,4.776
197,73.0373,270.723,4.71373
198,67.433,272.941,4.73788
199,78.2948,274.281,4.77454
200,85.4246,273.72,4.65966
201,60.2623,273.668,5.36859
202,91.5354,276.123,4.43932
203,72.1861,277.135,4.76393
204,65.0189,278.436,4.91058
205,77.8199,279.918,4.96393
206,84.682,280.036,4.9046
207,90.7964,281.912,4.90302
208,70.0093,283.019,4.80502
209,63.7718,283.783,5.07796
210,75.7805,285.207,4.5842
211,82.3104,285.455,4.65899
212,95.3013,288.064,4.74851
213,88.5335,287.872,4.74341
214,70.6921,289.445,4.85873
215,196.855,204.357,4.87154
216,194.373,210.998,4.79481
217,195.845,222.452,4.75508
218,195.728,228.849,4.82946
219,195.083,234.938,4.82288
220,198.594,239.567,4.77816
221,192.668,241.239,4.75409
222,194.17,248.198,4.75057
223,194.365,253.212,4.84818
224,195.829,258.957,4.88531
225,194.509,264.045,4.77768
226,195.041,272.907,4.96396
227,195.495,279.166,4.67758
228,193.74,284.733,4.90802
229,193.734,290.401,4.66062
230,98.4137,294.089,4.72969
231,107.226,290.288,4.85806
232,121.758,291.319,4.7646
233,127.649,293.793,4.93944
234,133.451,291.315,4.59212
235,151.958,293.57,4.842
236,163.348,294.4,4.82552
237,168.277,291.448,4.70085
238,176.117,293.909,4.84779
239,181.154,293.446,4.87501
240,186.052,294.099,4.80744
241,114.945,290.789,4.78907
242,144.02,197.023,4.87803
243,153.408,199.139,4.87544
244,183.086,198.238,4.71167
245,161.767,198.84,4.92427
246,190.582,199.682,4.72546
247,174.552,200.571,4.66848
248,147.342,202.449,4.82747
249,140.55,201.969,4.8405
250,134.937,201.334,4.90642
251,168.258,202.704,4.69317
252,157.864,203.7,4.67193
253,179.485,203.883,4.78471
254,129.379,205.405,4.90629
255,184.843,205.208,4.64194
256,152.686,206.129,4.74747
257,163.065,206.204,4.90101
258,190.256,206.287,4.79142
259,135.776,207.446,4.79684
260,173.689,207.342,4.51641
261,142.224,207.977,4.6546
262,148.571,209.633,4.65468
263,124.446,209.804,4.70967
264,167.676,209.797,4.80917
265,157.857,210.196,4.72708
266,179.811,210.435,4.79317
267,130.364,212.518,4.68338
268,186.585,212.026,4.75302
269,118.299,207.937,5.48948
270,136.467,213.573,4.97532
271,142.924,214.017,4.64558
272,173.73,213.726,4.85469
273,119.291,214.226,4.87731
274,113.477,212.797,5.0666
275,124.543,216.219,4.51843
276,161.023,215.481,4.85386
277,148.923,215.661,4.79854
278,154.199,215.48,4.66904
279,167.319,215.773,4.96045
280,192.475,216.528,4.78652
281,108.854,214.809,5.40084
282,179.744,217.042,4.73383
283,128.823,219.302,4.68895
284,185.447,218.009,4.60863
285,115.555,219.116,4.59731
286,133.329,220.294,4.78576
287,138.404,219.994,4.86772
288,103.534,218.084,5.30497
289,145.669,220.286,4.65965
290,173.868,220.166,4.73811
291,109.026,221.404,4.77177
292,121.392,221.631,4.85113
293,155.871,221.162,4.87574
294,162.573,222.006,4.74704
295,168.099,221.737,4.55188
296,189.808,221.622,4.90525
297,101.704,223.973,4.71624
298,126.779,225.331,4.86532
299,150.213,224.479,4.80255
300,178.589,224.406,4.59213
301,184.455,224.422,5.1014
302,114.09,225.037,4.87325
303,142.272,224.995,4.91335
304,131.355,227.916,4.44653
305,172.492,226.337,4.88359
306,106.882,227.235,4.64215
307,137.274,227.253,4.90002
308,157.687,226.82,4.72977
309,190.781,226.802,4.77295
310,119.95,227.562,4.70658
311,165.602,227.79,4.76686
312,145.459,229.423,4.37615
313,151.945,229.823,4.79457
314,183.463,229.682,4.65141
315,113.419,230.157,4.69056
316,124.995,231.188,4.82175
317,178.026,231.025,4.91978
318,189.184,231.588,4.76078
319,135.545,232.274,4.81752
320,160.259,231.906,4.78293
321,107.234,232.416,4.86389
322,171.801,232.113,4.81302
323,141.637,233.202,4.92854
324,118.988,233.671,4.84953
325,154.546,235.354,4.77331
326,165.89,233.946,4.87087
327,129.84,235.262,4.90008
328,148.242,234.937,4.84126
329,101.642,236.688,4.65466
330,113.072,235.859,4.75133
331,183.213,235.559,4.95545
332,189.336,236.384,4.56571
333,123.875,237.755,4.65269
334,177.031,236.852,4.63755
335,159.963,237.828,4.73458
336,135.617,237.965,4.76319
337,142.501,238.41,4.53059
338,107.33,238.206,4.85501
339,171.312,238.112,4.9506
340,118.004,240.21,4.62332
341,165.411,239.658,4.84347
342,148.404,240.295,4.6539
343,129.256,241.445,4.74136
344,186.686,241.331,4.8563
345,111.936,242.279,4.89844
346,155.809,241.49,4.79549
347,181.037,241.568,5.02057
348,104.312,243.069,4.79414
349,174.956,242.87,4.89322
350,137.391,242.901,4.84284
351,168.649,243.741,4.75122
352,122.748,244.314,4.85894
353,143.71,244.157,4.76604
354,151.149,244.643,4.91783
355,161.592,244.375,4.8106
356,116.645,246.204,4.64848
357,132.966,246.431,4.808
358,189.387,246.327,4.44582
359,109.636,247.361,4.68802
360,184.308,247.719,4.89817
361,126.918,248.203,4.90109
362,156.998,247.783,4.71095
363,138.744,248.863,4.54658
364,101.771,249.541,4.79865
365,174.461,248.694,4.96645
366,163.381,249.591,4.85086
367,168.467,248.19,4.86939
368,146.121,249.083,4.9103
369,120.407,250.64,4.69371
370,152.305,250.436,4.87207
371,113.875,252.397,4.82678
372,107.625,252.513,4.66318
373,131.45,252.202,4.87183
374,180.977,252.655,4.96202
375,158.912,253.1,4.80541
376,188.159,252.277,4.83754
377,169.788,253.144,4.81642
378,142.246,253.291,4.88755
379,175.686,254.182,4.68147
380,124.683,255.252,4.91028
381,148.067,255.003,4.58265
382,136.471,255.153,4.78921
383,103.085,255.992,4.81408
384,164.793,255.199,4.66863
385,118.082,256.625,4.79993
386,154.178,256.263,4.82521
387,109.061,258.174,4.52253
388,130.213,257.705,4.52755
389,184.633,257.923,4.77709
390,190.314,258.213,4.85691
391,141.917,258.337,4.45131
392,178.65,258.443,4.70903
393,159.975,258.748,4.82944
394,171.587,258.534,4.77977
395,135.744,261.037,5.02487
396,150.261,260.056,4.9211
397,101.744,261.301,4.47908
398,113.992,261.657,4.86222
399,165.949,260.491,4.85785
400,124.894,261.695,4.6508
401,119.735,262.502,4.83262
402,144.843,262.645,4.97159
403,156.163,263.134,4.78607
404,175.554,263.442,4.82865
405,187.993,263.411,5.02546
406,129.395,263.958,4.89487
407,108.456,264.134,4.8371
408,162.307,264.152,4.69974
409,169.801,264.169,4.80587
410,181.661,263.076,4.74342
411,139.705,265.413,4.56239
412,150.405,265.422,4.85653
413,102.609,267.033,4.80329
414,133.918,267.892,4.92927
415,166.503,268.883,4.71894
416,114.984,267.985,4.59247
417,121.959,267.995,4.72293
418,172.215,269.021,4.76461
419,184.979,267.913,4.77893
420,144.436,268.76,4.98842
421,154.229,269.252,4.86931
422,160.384,268.935,4.88984
423,178.863,268.232,4.94935
424,190.943,268.886,4.74755
425,127.189,270.168,4.74851
426,107.806,270.305,4.87036
427,148.845,271.826,4.90373
428,138.808,271.732,4.80568
429,181.078,273.959,4.8662
430,186.244,272.744,4.69288
431,120.021,273.652,4.88985
432,132.462,273.881,4.777
433,176.027,273.225,4.90918
434,113.072,273.663,4.82329
435,158.166,274.191,4.84333
436,163.915,274.078,4.63585
437,104.883,275.278,4.73026
438,152.546,274.837,4.43878
439,170.064,274.651,4.7271
440,126.543,276.246,4.78647
441,144.224,275.098,4.89486
442,190.568,275.503,4.85253
443,138.106,277.347,4.78596
444,184.998,278.261,4.838
445,175.521,278.209,4.84259
446,116.304,279.461,4.8002
447,154.375,279.717,4.67774
448,110.263,279.462,4.77755
449,133.16,279.58,4.50314
450,160.163,279.463,4.68803
451,165.616,279.23,4.93215
452,149.047,279.973,4.92374
453,122.097,281.104,4.76113
454,179.847,281.41,4.81888
455,142.983,280.46,4.87598
456,170.698,280.387,4.89931
457,104.533,281.423,4.76174
458,189.862,281.213,4.77568
459,128.21,282.138,4.91033
460,138.514,283.939,4.71915
461,174.559,284.102,4.72612
462,184.793,283.674,4.67313
463,162.445,284.371,4.85428
464,145.547,285.226,4.79749
465,157.004,284.605,4.71579
466,110.877,285.147,4.77595
467,118.402,285.879,4.59114
468,168.352,285.418,4.76058
469,133.32,286.187,4.86252
470,151.947,286.509,4.70721
471,178.413,287.828,4.80483
472,126.438,287.402,4.7037
473,183.849,288.5,4.69404
474,102.417,287.526,4.74422
475,189.024,287.741,4.84563
476,163.537,288.992,4.88231
477,172.757,289.557,4.63493
478,140.165,289.629,4.82392
479,147.238,290.051,4.80045
480,157.524,289.999,4.89571
481,293.43,206.078,4.68231
482,291.389,214.567,4.99478
483,290.285,219.943,4.82751
484,294.243,227.797,4.54815
485,291.304,236.359,4.66958
486,287.78,251.216,4.72762
487,291.831,254.174,4.92427
488,293.379,258.791,4.65387
489,293.31,266.627,4.34603
490,292.309,271.309,4.88843
491,291.757,276.413,4.80001
492,294.02,281.113,4.82622
493,290.617,285.101,4.7162
494,294.269,288.954,4.66903
495,204.174,294.129,4.80207
496,208.533,290.509,4.98808
497,212.407,294.144,4.71981
498,218.876,292.583,4.95239
499,225.192,290.447,4.727
500,235.577,291.36,4.88754
501,241.295,290.181,4.73814
502,245.304,294.241,4.83007
503,257.82,292.096,4.80345
504,263.486,293.548,4.78388
505,268.88,293.677,4.9718
506,291.749,293.45,4.88795
507,294.717,233.201,4.97339
508,293.467,249.314,4.81208
509,204.457,197.907,4.77407
510,198.354,198.256,4.83822
511,262.278,197.938,4.85751
512,230.898,199.219,4.8547
513,273.496,198.769,4.69212
514,237.088,199.909,4.81691
515,279.433,200.627,4.72695
516,256.689,200.648,4.75423
517,209.207,201.382,4.7214
518,244.567,200.839,4.79105
519,267.455,200.962,4.73025
520,215.433,202.592,4.74129
521,222.389,203.083,4.66258
522,289.628,202.832,4.80553
523,250.555,203.498,4.88815
524,228.364,204.667,4.81906
525,203.612,204.928,4.93021
526,262.552,205.661,4.76634
527,274.762,204.258,4.73707
528,283.952,205.302,4.70535
529,234.521,206.34,4.63735
530,240.144,205.355,4.88156
531,256.351,206.287,4.68956
532,269.112,206.348,4.93352
533,245.247,207.621,4.62553
534,279.627,208.501,4.94253
535,209.323,208.271,4.48998
536,216.966,208.065,4.93891
537,288.869,209.327,4.76928
538,223.533,209.197,4.81247
539,200.512,210.097,4.76575
540,250.603,209.688,4.8363
541,273.558,210.547,4.73483
542,229.846,210.595,4.77952
543,267.612,211.863,4.67651
544,240.311,211.451,4.78856
545,258.181,211.289,4.83153
546,213,212.911,4.98969
547,205.229,213.482,4.88341
548,262.672,213.159,4.74673
549,283.686,212.632,4.62484
550,252.894,214.268,4.73613
551,218.933,214.012,4.70025
552,235.198,213.956,4.79015
553,277.154,214.35,4.67576
554,246.476,214.632,4.7601
555,224.252,215.228,4.86941
556,209.66,217.789,4.62405
557,199.259,216.743,4.7416
558,230.106,216.76,4.92351
559,240.469,217.386,4.71017
560,271.264,216.808,5.00867
561,285.652,217.187,4.77088
562,258.17,217.546,4.81943
563,265.626,218.097,4.83485
564,215.188,218.435,4.6466
565,280.187,218.759,4.79504
566,204.58,220.128,4.80249
567,220.064,220.81,4.89097
568,250.711,219.773,4.74917
569,226.061,220.657,4.80806
570,234.674,220.313,4.70422
571,245.268,220.543,4.79149
572,274.535,220.383,4.86653
573,261.566,222.385,4.69301
574,268.386,223.007,4.79933
575,255.441,222.967,4.81828
576,285.069,222.781,4.80988
577,240.421,223.509,4.88296
578,201.567,225.023,4.76164
579,207.853,224.743,4.7535
580,214.294,223.781,4.84933
581,229.602,224.878,4.75332
582,279.055,224.355,4.79929
583,250.541,225.826,4.79579
584,223.548,225.701,4.79418
585,235.243,225.509,4.79577
586,289.827,225.717,4.81398
587,245.297,226.488,4.88398
588,273.443,226.17,4.85514
589,257.054,228.443,4.79636
590,263.104,226.937,4.80553
591,218.064,228.188,4.65573
592,284.16,227.807,4.67163
593,211.956,229.133,4.73908
594,268.025,228.921,4.79336
595,232.868,230.125,4.8768
596,239.317,229.893,4.78878
597,278.6,229.717,4.67064
598,200.531,231.297,4.80509
599,206.513,230.53,4.93017
600,227.141,230,4.65702
601,221.653,232.04,4.79435
602,250.75,231.285,4.71645
603,262.054,232.107,4.84321
604,244.886,231.762,4.77339
605,272.667,231.866,4.77458
606,289.181,231.052,4.90743
607,283.347,233.073,4.98333
608,255.427,233.908,4.4926
609,232.523,234.656,4.79573
610,215.645,233.922,4.6566
611,266.719,235.303,4.83287
612,277.465,235.187,4.94403
613,203.058,235.738,4.71641
614,225.973,235.39,4.87203
615,209.773,236.017,4.88067
616,238.999,235.121,4.72632
617,286.674,236.596,4.77615
618,244.771,236.552,4.7401
619,250.345,236.618,4.8014
620,259.735,237.227,4.88581
621,271.598,237.105,4.58923
622,220.141,237.867,4.8885
623,281.656,238.766,4.69561
624,229.055,239.795,4.76309
625,214.458,239.93,4.76418
626,205.267,240.023,4.86758
627,235.394,239.782,4.85973
628,241.86,240.682,4.84156
629,254.461,240.434,4.88258
630,263.923,240.288,4.84781
631,291.165,241.35,4.61498
632,223.813,242.303,4.68674
633,269.859,241.609,5.04895
634,276.282,240.654,4.82391
635,248.207,242.355,4.90026
636,285.795,242.282,4.94287
637,209.84,243.159,4.84849
638,218.388,243.833,4.99703
639,258.747,243.704,4.78219
640,280.441,244.405,4.86106
641,231.96,244.6,4.96251
642,237.589,245.393,4.66025
643,197.561,244.96,4.92724
644,203.301,244.971,4.85769
645,264.7,244.773,4.73468
646,274.919,245.486,4.77827
647,243.082,246.504,4.70801
648,252.894,246.223,4.77227
649,269.51,246.421,4.72171
650,289.068,246.126,4.89225
651,214.077,247.605,4.71409
652,226.734,246.954,4.6986
653,261.525,248.324,4.7241
654,208.191,248.592,4.80407
655,283.511,248.147,4.87739
656,220.781,248.956,4.81958
657,247.689,249.485,5.10473
658,256.293,250.074,4.7955
659,266.242,251.358,4.88056
660,202.137,250.189,4.83141
661,232.885,250.302,4.84222
662,278.153,250.186,4.77345
663,272.075,250.233,4.60442
664,239.352,250.83,4.77243
665,226.769,251.98,4.75883
666,250.699,253.501,4.43789
667,282.849,253.572,4.61623
668,211.045,252.952,4.72861
669,244.18,253.794,4.90879
670,216.087,253.798,4.80702
671,199.809,254.69,4.88952
672,260.568,253.882,4.79254
673,274.066,254.222,4.67708
674,205.768,255.364,4.78064
675,220.963,255.024,4.76614
676,236.788,255.315,4.70518
677,268.886,256.142,4.78977
678,231.336,256.397,4.89512
679,254.905,255.864,4.75649
680,278.769,256.528,4.88858
681,287.146,257.134,4.79663
682,225.778,257.311,4.79714
683,264.102,258.516,4.85405
684,241.145,258.645,4.66238
685,211.295,258.158,4.75746
686,246.014,259.076,4.53386
687,258.81,259.145,4.64972
688,273.292,259.248,4.79273
689,283.063,260.38,4.86139
690,250.618,259.93,5.02926
691,216.777,260.1,4.93196
692,201.205,260.338,4.65729
693,222.142,261.755,4.64107
694,235.82,261.087,4.85539
695,228.673,261.605,4.82024
696,207.081,261.541,4.67891
697,278.29,262.424,4.86805
698,255.559,262.863,5.00849
699,267.644,263.064,4.95647
700,288.785,262.712,4.94605
701,212.936,264.276,4.87404
702,241.968,264.124,4.90293
703,261.961,263.828,4.75227
704,247.018,265.381,4.88772
705,272.895,263.823,4.60721
706,202.155,265.175,4.70068
707,218.687,266.101,4.74567
708,225.318,266.727,5.02773
709,231.42,266.025,4.83264
710,282.087,266.13,4.47056
711,236.645,266.185,4.88906
712,251.864,267.178,4.88636
713,208.012,267.435,4.94496
714,270.057,268.273,4.92543
715,288.029,267.764,4.9293
716,258.024,267.719,4.70749
717,275.952,267.673,4.91775
718,264.452,268.908,4.87408
719,197.662,268.43,4.93296
720,242.076,269.791,4.64621
721,215.012,270.405,4.73034
722,229.514,270.667,4.62364
723,283.815,270.407,4.72291
724,202.931,270.984,4.85895
725,221.673,271.471,4.8664
726,247.779,271.211,4.80799
727,209.642,272.122,4.8414
728,236.03,270.877,4.9186
729,254.382,271.924,4.68976
730,260.167,271.928,4.8754
731,278.636,271.741,4.7509
732,267.822,273.435,4.79326
733,273.561,272.889,4.88344
734,286.98,274.591,4.89374
735,238.626,275.278,4.72426
736,199.933,275.676,4.74779
737,205.372,276.513,4.8554
738,226.627,274.564,4.8703
739,244.639,275.122,4.86166
740,262.998,275.736,4.65763
741,217.283,275.889,4.87234
742,232.659,274.962,4.65247
743,281.774,275.503,4.89002
744,211.52,276.9,4.78764
745,250.858,275.952,4.77792
746,222.632,277.445,4.51328
747,256.915,276.503,4.82923
748,276.516,277.084,4.75832
749,270.855,277.744,4.99242
750,265.903,279.64,4.80344
751,229.025,279.202,4.89067
752,241.222,279.966,4.89424
753,235.479,280.137,4.81702
754,247.309,280.229,4.82235
755,288.203,280.168,5.00081
756,254.029,281.106,4.8985
757,281.229,280.324,4.86928
758,201.374,281.248,4.86686
759,219.726,281.87,4.86784
760,260.198,280.607,4.77346
761,207.73,281.906,4.7733
762,214.489,281.866,4.79822
763,275.033,281.554,4.73446
764,225.695,283.9,4.8844
765,269.622,283.254,4.67297
766,285.251,283.868,4.96918
767,264.147,284.496,4.80938
768,231.702,283.941,4.89044
769,243.514,285.007,4.86714
770,249.882,284.564,4.64179
771,198.691,285.81,4.77815
772,279.298,285.245,4.7579
773,257.741,285.179,4.83363
774,237.278,285.698,4.86986
775,210.638,286.015,4.66127
776,204.068,286.979,4.79324
777,273.73,286.384,4.75338
778,221.172,287.326,4.7506
779,215.48,287.991,4.79584
780,253.381,288.407,4.80661
781,283.217,288.062,4.77225
782,247.38,289.284,4.7643
783,261.966,288.832,4.82295
784,230.599,288.684,4.76397
785,267.967,288.661,4.83985
786,288.477,289.153,4.87812
787,278.502,290.585,4.64605
788,199.646,290.761,4.89322
789,273.515,291.038,4.64641
790,386.403,200.96,4.74
791,391.486,214.509,4.9225
792,389.429,220.941,4.88386
793,389.185,230.737,4.50154
794,388.964,235.97,4.70575
795,390.932,246.665,4.76753
796,388.825,267.954,4.76915
797,386.818,272.975,4.82333
798,388.521,278.251,4.78586
799,387.094,292.891,4.84941
800,297.369,293.794,4.75371
801,303.155,294.456,4.72359
802,308.854,293.529,4.74472
803,314.007,291.902,4.86742
804,327.327,292.948,5.05676
805,338.185,293.143,4.73925
806,348.626,294.051,4.79396
807,353.264,292.712,4.64973
808,366.955,291.947,4.72356
809,371.981,292.983,4.88131
810,375.433,289.322,5.1728
811,322.248,293.268,4.63547
812,305.411,289.526,4.92407
813,320.325,197.802,4.92119
814,344.161,199.302,4.8108
815,314.699,200.081,4.46352
816,337.856,198.377,5.12301
817,350.76,201.158,4.85266
818,302.42,199.925,4.90095
819,357.052,201.799,4.63453
820,308.464,201.542,4.79709
821,326.087,202.375,4.94182
822,363.991,203.045,4.86024
823,375.61,202.873,4.91514
824,298.15,203.982,4.72352
825,319.406,203.693,4.89725
826,332.711,203.667,4.95782
827,346.497,205.985,4.8782
828,381.676,205.457,5.0877
829,339.976,205.177,4.79487
830,370.032,205.403,4.84721
831,303.158,205.547,4.88656
832,312.663,206.133,5.05611
833,306.874,209.015,4.84612
834,323.719,208.061,4.75932
835,352.695,207.917,4.9521
836,328.99,208.488,4.87658
837,359.019,208.24,4.8796
838,387.383,208.466,5.10463
839,375.66,208.601,4.71222
840,335.572,209.293,4.77597
841,365.042,210.067,4.84636
842,296.128,210.349,4.7703
843,317.09,209.424,4.67877
844,341.632,211.068,4.87593
845,301.512,211.4,4.71981
846,311.45,212.396,4.65592
847,348.487,212.17,4.6876
848,371.318,212.005,5.11838
849,379.861,212.084,4.93074
850,326.72,214.338,5.13982
851,385.41,215.147,4.803
852,320.783,213.117,4.93986
853,355.003,213.529,4.90682
854,361.495,214.813,4.80568
855,332.537,213.597,5.127
856,305.609,215.287,4.80127
857,316.001,216.048,4.86262
858,373.404,217.338,4.8317
859,337.371,216.033,4.52552
860,298.082,215.751,4.79176
861,343.166,216.737,4.99604
862,367.419,217.32,5.11298
863,348.668,217.888,5.1105
864,357.356,218.796,4.73678
865,379.374,217.46,4.87619
866,326.991,219.752,4.62618
867,332.272,219.482,4.82127
868,311.379,218.393,4.83736
869,321.514,218.576,4.80197
870,352.852,220.72,4.81672
871,295.05,220.992,4.83435
872,301.12,220.054,4.66084
873,306.858,220.548,4.92491
874,362.25,220.95,4.69591
875,382.987,221.916,4.82077
876,376.37,222.711,4.61469
877,316.777,222.348,4.70302
878,337.441,222.238,4.99846
879,343.189,222.988,4.75048
880,370.57,223.36,4.93506
881,322.993,224.001,4.7608
882,310.583,224.763,4.85589
883,298.996,224.574,5.00846
884,330.408,224.352,4.74862
885,348.617,223.839,4.75947
886,357.965,225.431,5.10258
887,304.592,225.503,4.7082
888,365.098,225.141,4.76621
889,385.641,226.923,5.06034
890,340.513,228.097,4.92269
891,315.096,227.274,4.85137
892,326.222,228.009,4.88417
893,319.886,229.134,4.70606
894,334.965,227.892,4.9714
895,379.886,228.198,4.75609
896,352.853,227.763,4.85931
897,374.274,228.76,4.86842
898,346.388,228.641,4.84406
899,368.053,229.469,4.80971
900,299.335,229.668,4.82661
901,309.938,230.62,4.8426
902,330.962,230.882,4.82463
903,362.355,230.587,5.31153
904,304.512,230.715,4.95765
905,344.46,233.672,4.70938
906,356.838,231.78,4.92798
907,383.483,233.529,4.94009
908,315.059,232.321,4.87213
909,324.638,232.8,4.86328
910,350.528,232.754,4.9625
911,371.682,233.829,4.97632
912,300.112,234.825,4.7455
913,377.255,234.227,4.94449
914,305.95,235.153,4.80005
915,319.422,235.846,4.79702
916,366.527,235.374,4.89481
917,361.111,235.913,4.75416
918,330.329,235.807,4.69884
919,313.616,236.799,4.74493
920,340.643,236.867,4.85169
921,355.093,236.959,4.85719
922,349.581,238.333,4.73346
923,324.851,237.371,5.07721
924,335.41,238.398,4.7706
925,308.888,238.225,4.60161
926,296.545,238.995,4.9619
927,371.774,238.7,4.5354
928,379.955,238.603,4.95538
929,302.553,239.454,4.84884
930,344.476,240.599,4.68763
